dimension,train_rmse,test_rmse,selected_columns,selected_rows,objective_iterations
15,0.346940515104556,0.32371040677125984,"[1, 4, 2, 13, 6, 5, 0, 11, 10, 14, 12, 7, 9, 8, 3]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931, 3932, 3933, 3934, 3797, 3802, 3927]",15
14,0.3457108321317524,0.3236891374910497,"[6, 14, 0, 7, 8, 9, 10, 5, 13, 1, 11, 12, 2, 4]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931, 3932, 3933, 3934, 3797, 3802]",43
13,0.3448953045282311,0.32366194179775326,"[0, 14, 1, 13, 10, 9, 11, 2, 12, 8, 6, 5, 7]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931, 3932, 3933, 3934, 3797]",17
12,0.3471187803176988,0.32390160489006514,"[0, 14, 10, 9, 1, 5, 6, 11, 4, 2, 3, 8]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931, 3932, 3933, 3934]",15
11,0.3438935273449339,0.3213545044836904,"[14, 0, 10, 11, 3, 7, 9, 4, 6, 1, 13]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931, 3932, 3933]",20
10,0.34265748893034975,0.32089932027981594,"[0, 14, 3, 11, 8, 6, 1, 10, 9, 13]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931, 3932]",15
9,0.34684579818407624,0.32048553569257066,"[0, 14, 3, 2, 10, 12, 9, 8, 11]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929, 3931]",28
8,0.3459731278156717,0.3219446948771628,"[14, 0, 10, 8, 6, 12, 2, 4]","[3799, 3801, 3800, 3798, 3930, 3935, 3928, 3929]",14
7,0.34800265553256515,0.32174045288961634,"[14, 0, 7, 5, 9, 3, 2]","[3799, 3801, 3800, 3798, 3930, 3935, 3928]",13
6,0.34446656502098155,0.3169309035452306,"[14, 0, 3, 11, 8, 5]","[3799, 3801, 3800, 3798, 3930, 3935]",14
5,0.34163841037295944,0.3201354440524389,"[14, 0, 1, 3, 10]","[3799, 3801, 3800, 3798, 3930]",12
